"","Gene 1","Gene 2","PATHNEScore"
2212,319087,253314,0
2213,319087,574028,0
2214,319087,390181,0
2215,319087,100271161,0
2216,319087,642819,0
2217,319087,100506888,0
2218,319087,8420,0
2219,319087,695,0
2220,319087,344387,0
2221,319087,1418,0
2222,319087,3069,0
2223,319087,7043,0
2224,319087,26749,0
2225,319087,574499,0
2226,319087,23172,0
2227,319087,149281,0
2228,319087,17,0
2229,319087,100420149,0
2230,319087,100128589,0
2231,319087,100874235,0
2232,319087,390318,0
2233,319087,100129650,0
2234,319087,359732,0
2235,319087,100419098,0
2236,319087,58499,0
2237,319087,326286,0
2238,319087,100874208,0
2239,319087,442195,0
2240,319087,84148,0
2241,319087,11013,0
2242,319087,102466727,0
2243,319087,166336,0
2244,319087,83982,0
2245,319087,442720,0
2246,319087,55707,0
2247,319087,5601,0
2248,319087,100272220,0
2249,319087,220885,0
2250,401409,7212,0
2251,401409,100873800,0
2252,401409,2218,0
2253,401409,100616225,0
2254,401409,100189182,0
2255,401409,7204,0
2256,401409,102465855,0
2257,401409,100131012,0
2258,401409,403275,0
2259,401409,728971,0
2260,401409,100873910,0
2261,401409,693212,0
2262,401409,285016,0
2263,401409,23225,0
2264,401409,89838,0
2265,401409,375295,0
2266,401409,100419187,0
2267,401409,151531,0
2268,401409,100271101,0
2269,401409,84838,0
2270,401409,100303728,0
2271,401409,100048905,0
2272,401409,100129480,0
2273,401409,100996539,0
2274,401409,22982,0
2275,401409,553194,0
2276,401409,100422533,0
2277,401409,280664,0
2278,401409,100505953,0
2279,401409,643873,0
2280,401409,83700,0
2281,401409,123099,0
2282,401409,50631,0
2283,401409,2968,0
2284,401409,5253,0
2285,401409,253314,0
2286,401409,574028,0
2287,401409,390181,0
2288,401409,100271161,0
2289,401409,642819,0
2290,401409,100506888,0
2291,401409,8420,0
2292,401409,695,0
2293,401409,344387,0
2294,401409,1418,0
2295,401409,3069,0
2296,401409,7043,0
2297,401409,26749,0
2298,401409,574499,0
2299,401409,23172,0
2300,401409,149281,0
2301,401409,17,0
2302,401409,100420149,0
2303,401409,100128589,0
2304,401409,100874235,0
2305,401409,390318,0
2306,401409,100129650,0
2307,401409,359732,0
2308,401409,100419098,0
2309,401409,58499,0
2310,401409,326286,0
2311,401409,100874208,0
2312,401409,442195,0
2313,401409,84148,0
2314,401409,11013,0
2315,401409,102466727,0
2316,401409,166336,0
2317,401409,83982,0
2318,401409,442720,0
2319,401409,55707,0
2320,401409,5601,0
2321,401409,100272220,0
2322,401409,220885,0
2323,7212,100873800,0
2324,7212,2218,0
2325,7212,100616225,0
2326,7212,100189182,0
2327,7212,7204,0
2328,7212,102465855,0
2329,7212,100131012,0
2330,7212,403275,0
2331,7212,728971,0
2332,7212,100873910,0
2333,7212,693212,0
2334,7212,285016,0
2335,7212,23225,0
2336,7212,89838,0
2337,7212,375295,0
2338,7212,100419187,0
2339,7212,151531,0
2340,7212,100271101,0
2341,7212,84838,0
2342,7212,100303728,0
2343,7212,100048905,0
2344,7212,100129480,0
2345,7212,100996539,0
2346,7212,22982,0
2347,7212,553194,0
2348,7212,100422533,0
2349,7212,280664,0
2350,7212,100505953,0
2351,7212,643873,0
2352,7212,83700,0
2353,7212,123099,0
2354,7212,50631,0
2355,7212,2968,0
2356,7212,5253,0
2357,7212,253314,0
2358,7212,574028,0
2359,7212,390181,0
2360,7212,100271161,0
2361,7212,642819,0
2362,7212,100506888,0
2363,7212,8420,0
2364,7212,695,0
2365,7212,344387,0
2366,7212,1418,0
2367,7212,3069,0
2368,7212,7043,0
2369,7212,26749,0
2370,7212,574499,0
2371,7212,23172,0
2372,7212,149281,0
2373,7212,17,0
2374,7212,100420149,0
2375,7212,100128589,0
2376,7212,100874235,0
2377,7212,390318,0
2378,7212,100129650,0
2379,7212,359732,0
2380,7212,100419098,0
2381,7212,58499,0
2382,7212,326286,0
2383,7212,100874208,0
2384,7212,442195,0
2385,7212,84148,0
2386,7212,11013,0
2387,7212,102466727,0
2388,7212,166336,0
2389,7212,83982,0
2390,7212,442720,0
2391,7212,55707,0
2392,7212,5601,0
2393,7212,100272220,0
2394,7212,220885,0
2395,100873800,2218,0
2396,100873800,100616225,0
2397,100873800,100189182,0
2398,100873800,7204,0
2399,100873800,102465855,0
2400,100873800,100131012,0
2401,100873800,403275,0
2402,100873800,728971,0
2403,100873800,100873910,0
2404,100873800,693212,0
2405,100873800,285016,0
2406,100873800,23225,0
2407,100873800,89838,0
2408,100873800,375295,0
2409,100873800,100419187,0
2410,100873800,151531,0
2411,100873800,100271101,0
2412,100873800,84838,0
2413,100873800,100303728,0
2414,100873800,100048905,0
2415,100873800,100129480,0
2416,100873800,100996539,0
2417,100873800,22982,0
2418,100873800,553194,0
2419,100873800,100422533,0
2420,100873800,280664,0
2421,100873800,100505953,0
2422,100873800,643873,0
2423,100873800,83700,0
2424,100873800,123099,0
2425,100873800,50631,0
2426,100873800,2968,0
2427,100873800,5253,0
2428,100873800,253314,0
2429,100873800,574028,0
2430,100873800,390181,0
2431,100873800,100271161,0
2432,100873800,642819,0
2433,100873800,100506888,0
2434,100873800,8420,0
2435,100873800,695,0
2436,100873800,344387,0
2437,100873800,1418,0
2438,100873800,3069,0
2439,100873800,7043,0
2440,100873800,26749,0
2441,100873800,574499,0
2442,100873800,23172,0
2443,100873800,149281,0
2444,100873800,17,0
2445,100873800,100420149,0
2446,100873800,100128589,0
2447,100873800,100874235,0
2448,100873800,390318,0
2449,100873800,100129650,0
2450,100873800,359732,0
2451,100873800,100419098,0
2452,100873800,58499,0
2453,100873800,326286,0
2454,100873800,100874208,0
2455,100873800,442195,0
2456,100873800,84148,0
2457,100873800,11013,0
2458,100873800,102466727,0
2459,100873800,166336,0
2460,100873800,83982,0
2461,100873800,442720,0
2462,100873800,55707,0
2463,100873800,5601,0
2464,100873800,100272220,0
2465,100873800,220885,0
2466,2218,100616225,0
2467,2218,100189182,0
2468,2218,7204,0
2469,2218,102465855,0
2470,2218,100131012,0
2471,2218,403275,0
2472,2218,728971,0
2473,2218,100873910,0
2474,2218,693212,0
2475,2218,285016,0
2476,2218,23225,0
2477,2218,89838,0
2478,2218,375295,0
2479,2218,100419187,0
2480,2218,151531,0
2481,2218,100271101,0
2482,2218,84838,0
2483,2218,100303728,0
2484,2218,100048905,0
2485,2218,100129480,0
2486,2218,100996539,0
2487,2218,22982,0
2488,2218,553194,0
2489,2218,100422533,0
2490,2218,280664,0
2491,2218,100505953,0
2492,2218,643873,0
2493,2218,83700,0
2494,2218,123099,0
2495,2218,50631,0
2496,2218,2968,0
2497,2218,5253,0
2498,2218,253314,0
2499,2218,574028,0
2500,2218,390181,0
2501,2218,100271161,0
2502,2218,642819,0
2503,2218,100506888,0
2504,2218,8420,0
2505,2218,695,0
2506,2218,344387,0
2507,2218,1418,0
2508,2218,3069,0
2509,2218,7043,0
2510,2218,26749,0
2511,2218,574499,0
2512,2218,23172,0
2513,2218,149281,0
2514,2218,17,0
2515,2218,100420149,0
2516,2218,100128589,0
2517,2218,100874235,0
2518,2218,390318,0
2519,2218,100129650,0
2520,2218,359732,0
2521,2218,100419098,0
2522,2218,58499,0
2523,2218,326286,0
2524,2218,100874208,0
2525,2218,442195,0
2526,2218,84148,0
2527,2218,11013,0
2528,2218,102466727,0
2529,2218,166336,0
2530,2218,83982,0
2531,2218,442720,0
2532,2218,55707,0
2533,2218,5601,0
2534,2218,100272220,0
2535,2218,220885,0
2536,100616225,100189182,0
2537,100616225,7204,0
2538,100616225,102465855,0
2539,100616225,100131012,0
2540,100616225,403275,0
2541,100616225,728971,0
2542,100616225,100873910,0
2543,100616225,693212,0
2544,100616225,285016,0
2545,100616225,23225,0
2546,100616225,89838,0
2547,100616225,375295,0
2548,100616225,100419187,0
2549,100616225,151531,0
2550,100616225,100271101,0
2551,100616225,84838,0
2552,100616225,100303728,0
2553,100616225,100048905,0
2554,100616225,100129480,0
2555,100616225,100996539,0
2556,100616225,22982,0
2557,100616225,553194,0
2558,100616225,100422533,0
2559,100616225,280664,0
2560,100616225,100505953,0
2561,100616225,643873,0
2562,100616225,83700,0
2563,100616225,123099,0
2564,100616225,50631,0
2565,100616225,2968,0
2566,100616225,5253,0
2567,100616225,253314,0
2568,100616225,574028,0
2569,100616225,390181,0
2570,100616225,100271161,0
2571,100616225,642819,0
2572,100616225,100506888,0
2573,100616225,8420,0
2574,100616225,695,0
2575,100616225,344387,0
2576,100616225,1418,0
2577,100616225,3069,0
2578,100616225,7043,0
2579,100616225,26749,0
2580,100616225,574499,0
2581,100616225,23172,0
2582,100616225,149281,0
2583,100616225,17,0
2584,100616225,100420149,0
2585,100616225,100128589,0
2586,100616225,100874235,0
2587,100616225,390318,0
2588,100616225,100129650,0
2589,100616225,359732,0
2590,100616225,100419098,0
2591,100616225,58499,0
2592,100616225,326286,0
2593,100616225,100874208,0
2594,100616225,442195,0
2595,100616225,84148,0
2596,100616225,11013,0
2597,100616225,102466727,0
2598,100616225,166336,0
2599,100616225,83982,0
2600,100616225,442720,0
2601,100616225,55707,0
2602,100616225,5601,0
2603,100616225,100272220,0
2604,100616225,220885,0
2605,100189182,7204,0
2606,100189182,102465855,0
2607,100189182,100131012,0
2608,100189182,403275,0
2609,100189182,728971,0
2610,100189182,100873910,0
2611,100189182,693212,0
2612,100189182,285016,0
2613,100189182,23225,0
2614,100189182,89838,0
2615,100189182,375295,0
2616,100189182,100419187,0
2617,100189182,151531,0
2618,100189182,100271101,0
2619,100189182,84838,0
2620,100189182,100303728,0
2621,100189182,100048905,0
2622,100189182,100129480,0
2623,100189182,100996539,0
2624,100189182,22982,0
2625,100189182,553194,0
2626,100189182,100422533,0
2627,100189182,280664,0
2628,100189182,100505953,0
2629,100189182,643873,0
2630,100189182,83700,0
2631,100189182,123099,0
2632,100189182,50631,0
2633,100189182,2968,0
2634,100189182,5253,0
2635,100189182,253314,0
2636,100189182,574028,0
2637,100189182,390181,0
2638,100189182,100271161,0
2639,100189182,642819,0
2640,100189182,100506888,0
2641,100189182,8420,0
2642,100189182,695,0
2643,100189182,344387,0
2644,100189182,1418,0
2645,100189182,3069,0
2646,100189182,7043,0
2647,100189182,26749,0
2648,100189182,574499,0
2649,100189182,23172,0
2650,100189182,149281,0
2651,100189182,17,0
2652,100189182,100420149,0
2653,100189182,100128589,0
2654,100189182,100874235,0
